[MA1]
[Specimen: 1]
[Channel: 1]


[Raw Data]

Point ID Time [ms] Force [N] Voltage Ch1 [mV]






















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































